epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2661.18,0.07089,0.07013,0.77644,0.97958,0.88389,0.94841,0.87609,0.29136,0.37706,0.81533,0.000580174,0.000580174,0.000580174
62,2693.48,0.07072,0.06982,0.77632,0.98383,0.88331,0.9466,0.87152,0.28446,0.37773,0.81317,0.000566027,0.000566027,0.000566027
63,2734.29,0.06967,0.06865,0.77621,0.96609,0.88253,0.94574,0.88292,0.28601,0.37975,0.81354,0.00055188,0.00055188,0.00055188
64,2760.56,0.06925,0.06656,0.77613,0.96334,0.88322,0.9472,0.88241,0.29,0.3693,0.81453,0.000537733,0.000537733,0.000537733
65,2807.8,0.06797,0.06686,0.77617,0.97856,0.88342,0.94953,0.87908,0.2898,0.37166,0.813,0.000523586,0.000523586,0.000523586
66,2830.86,0.06762,0.06603,0.77615,0.96587,0.88207,0.94292,0.86846,0.28987,0.37206,0.81487,0.000509438,0.000509438,0.000509438
67,2875.82,0.06797,0.06488,0.77601,0.96985,0.88221,0.94427,0.86755,0.29103,0.37237,0.81552,0.000495291,0.000495291,0.000495291
68,2898.66,0.0669,0.06502,0.77595,0.96822,0.88264,0.94631,0.86939,0.28787,0.36986,0.81356,0.000481144,0.000481144,0.000481144
69,2947.88,0.06741,0.06512,0.77593,0.96864,0.88267,0.94322,0.86767,0.29033,0.37551,0.81454,0.000466997,0.000466997,0.000466997
70,2971.63,0.06685,0.0643,0.77583,0.96369,0.88157,0.94515,0.86954,0.29412,0.3715,0.81574,0.00045285,0.00045285,0.00045285
71,3018.22,0.06691,0.06441,0.77587,0.97212,0.88298,0.94348,0.86898,0.29104,0.36357,0.81551,0.000438703,0.000438703,0.000438703
72,3048.62,0.06573,0.06362,0.77577,0.96693,0.8824,0.94568,0.87164,0.2922,0.37067,0.81548,0.000424556,0.000424556,0.000424556
73,3094,0.06589,0.06328,0.77575,0.96283,0.88099,0.94663,0.87693,0.29432,0.37238,0.81657,0.000410409,0.000410409,0.000410409
74,3124.58,0.06526,0.06247,0.77571,0.98621,0.88223,0.94613,0.88017,0.29246,0.36935,0.81649,0.000396262,0.000396262,0.000396262
75,3168.61,0.06496,0.06322,0.77566,0.96288,0.88153,0.94543,0.87787,0.2903,0.37092,0.81507,0.000382115,0.000382115,0.000382115
76,3197.29,0.06497,0.0623,0.77562,0.96667,0.88135,0.94737,0.87874,0.29266,0.36759,0.81666,0.000367967,0.000367967,0.000367967
77,3243.89,0.06519,0.06172,0.77553,0.9664,0.88051,0.94691,0.88033,0.29402,0.36851,0.81679,0.00035382,0.00035382,0.00035382
78,3268.95,0.06461,0.06098,0.77553,0.96089,0.88124,0.946,0.87956,0.29141,0.37233,0.81653,0.000339673,0.000339673,0.000339673
79,3317.03,0.06446,0.06114,0.7755,0.97016,0.88041,0.94463,0.87445,0.29851,0.36774,0.81764,0.000325526,0.000325526,0.000325526
80,3344.53,0.06413,0.06156,0.77546,0.96806,0.88099,0.94643,0.87742,0.29558,0.37531,0.81646,0.000311379,0.000311379,0.000311379
81,3391.81,0.06354,0.06117,0.7755,0.9725,0.88268,0.94677,0.88206,0.29427,0.36795,0.81645,0.000297232,0.000297232,0.000297232
82,3417.16,0.06322,0.06074,0.77536,0.97182,0.8824,0.94696,0.88112,0.2916,0.37103,0.81562,0.000283085,0.000283085,0.000283085
83,3462.03,0.06257,0.05939,0.77533,0.96959,0.88158,0.94655,0.88138,0.29286,0.37647,0.81666,0.000268938,0.000268938,0.000268938
84,3493.07,0.06289,0.05933,0.77535,0.97245,0.88185,0.94671,0.8771,0.29427,0.37568,0.81682,0.000254791,0.000254791,0.000254791
85,3534.79,0.06183,0.05913,0.77524,0.97735,0.88126,0.94671,0.87319,0.29525,0.38042,0.81719,0.000240644,0.000240644,0.000240644
86,3562.54,0.06231,0.05971,0.77518,0.96113,0.87949,0.94614,0.87498,0.29113,0.37832,0.81615,0.000226497,0.000226497,0.000226497
87,3605.73,0.06186,0.05839,0.77521,0.97155,0.88135,0.94574,0.87468,0.29568,0.38302,0.81735,0.000212349,0.000212349,0.000212349
88,3631.61,0.06155,0.05794,0.77518,0.9691,0.88077,0.94586,0.87699,0.29365,0.38387,0.81756,0.000198202,0.000198202,0.000198202
89,3677.65,0.06305,0.05968,0.77523,0.96502,0.88066,0.94576,0.87492,0.29244,0.38764,0.81692,0.000184055,0.000184055,0.000184055
90,3707.11,0.0622,0.0583,0.7751,0.96516,0.87983,0.94632,0.87556,0.29408,0.37802,0.81714,0.000169908,0.000169908,0.000169908
91,3887.03,0.06242,0.05873,0.77521,0.96359,0.88099,0.94531,0.87684,0.29171,0.36975,0.81632,0.000155761,0.000155761,0.000155761
92,3958.63,0.06171,0.05828,0.77512,0.96435,0.88083,0.94497,0.87512,0.29205,0.36848,0.81718,0.000141614,0.000141614,0.000141614
93,3993.87,0.06273,0.05879,0.77521,0.96674,0.88003,0.94731,0.87749,0.29267,0.36426,0.81656,0.000127467,0.000127467,0.000127467
94,4031.5,0.06153,0.05805,0.77503,0.96851,0.87898,0.94815,0.87513,0.29298,0.36758,0.81629,0.00011332,0.00011332,0.00011332
95,4060.06,0.06098,0.05769,0.77497,0.96997,0.87975,0.94809,0.87455,0.2928,0.36873,0.81664,9.91726e-05,9.91726e-05,9.91726e-05
96,4092.42,0.06054,0.05757,0.77497,0.97153,0.87926,0.94797,0.87288,0.28987,0.36859,0.81587,8.50255e-05,8.50255e-05,8.50255e-05
97,4129.42,0.06122,0.05844,0.775,0.97212,0.87926,0.94827,0.87148,0.2905,0.36918,0.81608,7.08784e-05,7.08784e-05,7.08784e-05
98,4160.71,0.06051,0.05718,0.77486,0.97066,0.87999,0.94822,0.87377,0.29084,0.36849,0.8162,5.67313e-05,5.67313e-05,5.67313e-05
99,4192.42,0.06044,0.0576,0.77498,0.96862,0.88072,0.94827,0.87322,0.28985,0.36808,0.81628,4.25842e-05,4.25842e-05,4.25842e-05
100,4219.01,0.06013,0.05749,0.77484,0.96886,0.87995,0.94828,0.87373,0.29136,0.3675,0.81655,2.84371e-05,2.84371e-05,2.84371e-05
